author,title,amazon_link,category,notes_slug,summary
Mark Manson,The Subtle Art of Not Giving a F*ck,http://amzn.to/2iGL1Jg,,,Didn't grab me much.  I'd rather read [Seneca][Letters from a Stoic] or [Marcus][Meditations] again.
John Steele Gordon,An Empire of Wealth,http://amzn.to/2iGIeDA,,,A telling of the history of the United States through the lens of economics.  Role of central banks and markets.  Ability of the government to raise funds to wage war.  I really enjoyed this read.
Brad Stone,The Everything Store,http://amzn.to/2i9Zbpd,,,"The story of Jeff Bezos and Amazon.  If you're at all interested in the expansion of Tech beyond purely digital pursuits, this book has many lessons."
B. H. Liddell Hart,"Sherman: Soldier, Realist, American",http://amzn.to/2ia0TH5,,,"Biography of William Tecumseh Sherman, his life and his Civil War campaign that defined much of modern warfare.  I had no idea how bold the march to Savannah really was."
Chuck Yaeger,Yaeger: An Autobiography,http://amzn.to/2iGFSEU,,,One of a number of military biographies I read this year.  The best US fighter pilot there was and first man to break the sound barrier.
Kai Bird & Martin Sherwin,American Prometheus,http://amzn.to/2iGIFKq,,,"The life of Robert Oppenheimer, Los Alamos and the development of the atomic bomb and his subsequent pursecution during the Red Scare."
Rob Goodman & Jimmy Soni,Rome's Last Citizen,http://amzn.to/2iGSxna,,,"Biography of Marcus Cato the Younger, enemy of both Caesar and Pompey.  One of the few men to fight for the idea of the Republic to the very end against dictators to the very end, choosing suicide over submission."
Michael Lewis,Moneyball,http://amzn.to/2hy3BqB,,,Someone uses data to overturn conventional wisdom and wins big.  Classic data scientist read.  Also useful for explaining what I do to regular people.
Walter Isaacson,Einstein: His Life and Universe,http://amzn.to/2hy8HDe,,,"Sadly, not as good as Franklin.  Not because Isaacson wrote a poor book, but Einstein's life wasn't particulary interesting after general relativity."
Oliver Burkeman,The Antidote: Happiness for People Who Can't Stand Positive Thinking,http://amzn.to/2iH2X6n,,,I generally don't include subtitles here and I generally don't read much modern pop-philosophy.  This book is an exception.  It does a fantastic job of weaving many of my philosophical influences into one thread.
Carl Anderson,Creating a Data-Driven Organization,http://amzn.to/2hA5XVW,,,Good conceptual framework for the steps required to make data and data science effective at a company.
Ryan Holiday,The Daily Stoic,http://amzn.to/2iiGjlJ,,,"Daily Stoicism reader.  It's on my bedside table, but I haven't opened it as much as I think I should."
Steven Pressfield,The Warrior Ethos,http://amzn.to/2hyalF8,,,I'm a big fan of Pressfield's writing and the mentality of doing one's duty.  This book scratches both those itches.
Kevin Kelly,The Inevitable,http://amzn.to/2iJFQIh,,,"Founding editor of Wired discusses future trends in consumer Internet technology.  Kelly presents a fascinating view of the technological future, better framing things I had thought of and introducing many new ideas.  My main complaint is that it's an overly rosy picture that doesn't really consider societal impact of many of these changes."
Edward Slingerland,Trying Not to Try,http://amzn.to/2icWa7s,,,Ancient Chinese philosophy meets modern cognition.  Reframes the role of Kahneman's System 1 and System 2 in the constellation of Daoist with insights on how to make it applicable to your life.
Tyler Cowen,Average Is Over,http://amzn.to/2icOTEQ,,,Followup to _The Great Stagnation_ detailing the ongoing bifurcation of American society into the haves and the have-nots.  Economic forces will progressively reduce the middle class that has dominated the 20th century.
Ryan Holiday,Ego Is the Enemy,http://amzn.to/2iJwEUj,,,"Another modern Stoicism book.  Holiday continues the Stoic tradition of distilling things to a series of life-hacks.  Love it, hate it, but if works, use it."
Steven Pressfield,The War of Art,http://amzn.to/2htJIvZ,,,"Modern-day Marcus Aurelius reminding you to show up and do your assigned work professionally, as difficult as it may be."
Oliver Sacks,On the Move,http://amzn.to/2iJLbzm,,,Endearing autobiography.  I've always loved Sacks.  It was encouraging to read that someone I respect still felt he had no idea what he was doing at the age of 40.
Jean Edward Smith,Eisenhower in War and Peace,http://amzn.to/2hxchw0,,,"I bought it for the perspective on the European theater, but was equally interested in his presidency."
Michael Lewis,Flash Boys,http://amzn.to/2icKcLe,,,The dark and dirty world of high-frequency trading.  This is absolutely nuts.
Tyler Cowen,The Great Stagnation,http://amzn.to/2imHjaW,,,We've run out of the major contributors to the last century of American growth.  The future will not continue at the same pace.
Mason Currey,[Daily Rituals: How Artists Work,http://amzn.to/2iKm9QD,,,Delightful little book recounting the daily rituals and working habits of many artists.  A wonderful diversity of approaches.  My only regret is he didn't include more scientists and thinkers.
Daniel Kahneman,"Thinking, Fast and Slow",http://amzn.to/2hxgmjI,,,"Summary of Kahnemann's research career into cognitive biases.  Got distracted after the first section.  While I think the book is right in broad strokes, I don't think we understand the brain well enough to consider the specifics gospel."
Nathaniel Philbrick,In the Heart of the Sea,http://amzn.to/2i4QjRk,,,"True story of the whaleship Essex.  Attacked by sperm whale in the Pacific, it was Melville's inspiration for Moby Dick."
John Vaillant,The Golden Spruce,http://amzn.to/2iJXRtY,,,Man cuts down golden-needled tree on Haida Gwaii.  I mostly enjoyed it for the description of the British Columbian coastal wilderness.
Winifred Gallagher,Rapt: Attention and the Focused Life,http://amzn.to/2iiJh9Y,,,"Author is diagnosed cancer, realizes her life is improved by living more in the present.  Sadly this book is mostly pop-psychology and doesn't introspect much how attention improved her life."
Pedro Domingos,The Master Algorithm,The Master Algorithm,,,Summary of the major approaches to machine learning that turns into an ad for the author's research.  A few insights.
Donald Barlett,Howard Hughes: His Life and Madness,http://amzn.to/2ivcDBM,,,"For as much as Hughes is a household name, I was surprised how little I knew about his life.  Hughes was a complete nut."
